"id","batch","time","date","worker_assign","officer_assign","created_at","updated_at"
"40","SPBB Day1","5:00 pm","April 6, 2018","1","1",NULL,NULL
"45","SPBB Day 2","5:00 pm","April 7, 2018","1","1",NULL,NULL
"46","SPBB Day 3","5:00 pm","April 8, 2018","1","1",NULL,NULL
"47","PRAYER MEETING","4:30 AM","April 11, 2018","1","1",NULL,NULL
"48","PRAYER MEETING","6:30 AM","April 11, 2018","1","1",NULL,NULL
"49","PRAYER MEETING","8:30 AM","April 11, 2018","1","1",NULL,NULL
"50","PRAYER MEETING","12:30 PM","April 11, 2018","1","1",NULL,NULL
"51","PRAYER MEETING","2:30 PM","April 11, 2018","1","1",NULL,NULL
"52","PRAYER MEETING","5:30 PM","April 11, 2018","1","1",NULL,NULL
"53","PRAYER MEETING","7:30 PM","April 11, 2018","1","1",NULL,NULL
"54","PRAYER MEETING","9:30 PM","April 11, 2018","1","1",NULL,NULL
"55","PRAYER MEETING","11:30 PM","April 11, 2018","1","1",NULL,NULL
"56","PRAYER MEETING","4:30 AM","April 12, 2018","1","1",NULL,NULL
"57","PRAYER MEETING","6:30 AM","April 12, 2018","1","1",NULL,NULL
"58","PRAYER MEETING","8:30 AM","April 12, 2018","1","1",NULL,NULL
"59","PRAYER MEETING","5:30 PM","April 12, 2018","1","1",NULL,NULL
"60","PRAYER MEETING","7:30 PM","April 12, 2018","1","1",NULL,NULL
"61","WORSHIP SERVICE","4:30 AM","April 14, 2018","1","1",NULL,NULL
"62","WORSHIP SERVICE","6:30 AM","April 14, 2018","1","1",NULL,NULL
"63","WORSHIP SERVICE","8:30 AM","April 14, 2018","1","1",NULL,NULL
"64","WORSHIP SERVICE","5:30 PM","April 14, 2018","1","1",NULL,NULL
"65","WORSHIP SERVICE","7:30 PM","April 14, 2018","1","1",NULL,NULL
"66","WORSHIP SERVICE","2:30 PM","April 15, 2018","1","1",NULL,NULL
"67","THANKSGIVING","6:00 AM","April 15, 2018","1","1",NULL,NULL
"68","PRAYER MEETING","4:3O AM","April 18, 2018","1","1",NULL,NULL
"69","PRAYER MEETING","6:3O AM","April 18, 2018","1","1",NULL,NULL
"70","PRAYER MEETING","8:3O AM","April 18, 2018","1","1",NULL,NULL
"72","PRAYER MEETING","7:3O PM","April 18, 2018","1","1",NULL,NULL
"73","PRAYER MEETING","5:3O PM","April 18, 2018","1","1",NULL,NULL
"74","PRAYER MEETING","4:30 AM","April 19, 2018","1","1",NULL,NULL
"75","PRAYER MEETING","6:30 AM","April 19, 2018","1","1",NULL,NULL
"76","PRAYER MEETING","8:30 AM","April 19, 2018","1","1",NULL,NULL
"77","PRAYER MEETING","5:30 PM","April 19, 2018","1","1",NULL,NULL
"78","PRAYER MEETING","7:30 PM","April 19, 2018","1","1",NULL,NULL
"79","WORSHIP SERVICE","4:30 AM","April 21, 2018","1","1",NULL,NULL
"80","WORSHIP SERVICE","6:30 AM","April 21, 2018","1","1",NULL,NULL
"81","WORSHIP SERVICE","8:30 AM","April 21, 2018","1","1",NULL,NULL
"82","WORSHIP SERVICE","10:30 AM","April 21, 2018","1","1",NULL,NULL
"85","WORSHIP SERVICE","12:30 PM","April 21, 2018","1","1",NULL,NULL
"86","WORSHIP SERVICE","2:30 PM","April 21, 2018","1","1",NULL,NULL
"87","WORSHIP SERVICE","5:30 PM","April 21, 2018","1","1",NULL,NULL
"88","WORSHIP SERVICE","7:30 PM","April 21, 2018","1","1",NULL,NULL
"89","WORSHIP SERVICE","9:30 PM","April 21, 2018","1","1",NULL,NULL
"90","WORSHIP SERVICE","11:30 PM","April 21, 2018","1","1",NULL,NULL
